,noun_chunk,sentences
85,coffee grinder,"Used my coffee grinder this morning for the first time. Worked great. I looked at a lot of different coffee grinders before settling on this particular one and bought this one because of the great reviews. Wonder why Cuisinart stopped making it? That would have been a concern with a larger appliance but since I know better than to expect that this small inexpensive appliance is ""fixable,"" it wasn't a consideration. Hope it holds up as well as people report it does. Fingers crossed."
86,Cuisinart,"Used my coffee grinder this morning for the first time. Worked great. I looked at a lot of different coffee grinders before settling on this particular one and bought this one because of the great reviews. Wonder why Cuisinart stopped making it? That would have been a concern with a larger appliance but since I know better than to expect that this small inexpensive appliance is ""fixable,"" it wasn't a consideration. Hope it holds up as well as people report it does. Fingers crossed."
88,coffee,"Basic and super efficient.

If your looking for a classic electric grinder this is great. I'm a sort of coffee snob, so I don't use it for coffee (I use a burr grinder instead), but if your looking for a quick and easy spice grinder or for flax seeds, it's great."
92,burr grinder,"Basic and super efficient.

If your looking for a classic electric grinder this is great. I'm a sort of coffee snob, so I don't use it for coffee (I use a burr grinder instead), but if your looking for a quick and easy spice grinder or for flax seeds, it's great."
97,grinder,"I tried to use this to grind coffee. IT DOES NOT GRIND COFFEE WORTH A S&$%. But then neither does any other blade grinder I have tried. Finally got a burr grinder and will NEVER go back. However, this grinder can be made to grind spices if you are mechanically inclined. The blade on this and Cuisinart's hand held mixer is blunt and just about worthless.

However, unlike their hand held mixer, this blade can be easily removed. Just take a roughly 3/8"" dowel (a stick or handle of a wooden spoon) and place it on the right side of either blade pointed away from you. Now, whack the dowel with a wooden spoon or something. The blade will unscrew counter clockwise. Use a file or a Dremel with a stone and sharpen the blade. Now you have a fair to good grinder for spices.

One note of caution. DO NOT EVER GET ANY WATER IN THE GRINDING BOWL. The only thing separating the motor shaft from the bearing (actually a bushing) is a felt washer. Get it wet and it stays wet, corroding the shaft and speeding its demise. Also, DO NOT FILL THE GRINDING BOWL MORE THAT 3/4 OF THE WAY FULL (less for hard to grind substances). The full line is where the metal bowl ends and the plastic starts. OVERLOAD THIS CHEAP MOTOR AND IT WILL DIE."
109,thing,"I tried to use this to grind coffee. IT DOES NOT GRIND COFFEE WORTH A S&$%. But then neither does any other blade grinder I have tried. Finally got a burr grinder and will NEVER go back. However, this grinder can be made to grind spices if you are mechanically inclined. The blade on this and Cuisinart's hand held mixer is blunt and just about worthless.

However, unlike their hand held mixer, this blade can be easily removed. Just take a roughly 3/8"" dowel (a stick or handle of a wooden spoon) and place it on the right side of either blade pointed away from you. Now, whack the dowel with a wooden spoon or something. The blade will unscrew counter clockwise. Use a file or a Dremel with a stone and sharpen the blade. Now you have a fair to good grinder for spices.

One note of caution. DO NOT EVER GET ANY WATER IN THE GRINDING BOWL. The only thing separating the motor shaft from the bearing (actually a bushing) is a felt washer. Get it wet and it stays wet, corroding the shaft and speeding its demise. Also, DO NOT FILL THE GRINDING BOWL MORE THAT 3/4 OF THE WAY FULL (less for hard to grind substances). The full line is where the metal bowl ends and the plastic starts. OVERLOAD THIS CHEAP MOTOR AND IT WILL DIE."
114,blade,"I tried to use this to grind coffee. IT DOES NOT GRIND COFFEE WORTH A S&$%. But then neither does any other blade grinder I have tried. Finally got a burr grinder and will NEVER go back. However, this grinder can be made to grind spices if you are mechanically inclined. The blade on this and Cuisinart's hand held mixer is blunt and just about worthless.

However, unlike their hand held mixer, this blade can be easily removed. Just take a roughly 3/8"" dowel (a stick or handle of a wooden spoon) and place it on the right side of either blade pointed away from you. Now, whack the dowel with a wooden spoon or something. The blade will unscrew counter clockwise. Use a file or a Dremel with a stone and sharpen the blade. Now you have a fair to good grinder for spices.

One note of caution. DO NOT EVER GET ANY WATER IN THE GRINDING BOWL. The only thing separating the motor shaft from the bearing (actually a bushing) is a felt washer. Get it wet and it stays wet, corroding the shaft and speeding its demise. Also, DO NOT FILL THE GRINDING BOWL MORE THAT 3/4 OF THE WAY FULL (less for hard to grind substances). The full line is where the metal bowl ends and the plastic starts. OVERLOAD THIS CHEAP MOTOR AND IT WILL DIE."
121,coffee,"I tried to use this to grind coffee. IT DOES NOT GRIND COFFEE WORTH A S&$%. But then neither does any other blade grinder I have tried. Finally got a burr grinder and will NEVER go back. However, this grinder can be made to grind spices if you are mechanically inclined. The blade on this and Cuisinart's hand held mixer is blunt and just about worthless.

However, unlike their hand held mixer, this blade can be easily removed. Just take a roughly 3/8"" dowel (a stick or handle of a wooden spoon) and place it on the right side of either blade pointed away from you. Now, whack the dowel with a wooden spoon or something. The blade will unscrew counter clockwise. Use a file or a Dremel with a stone and sharpen the blade. Now you have a fair to good grinder for spices.

One note of caution. DO NOT EVER GET ANY WATER IN THE GRINDING BOWL. The only thing separating the motor shaft from the bearing (actually a bushing) is a felt washer. Get it wet and it stays wet, corroding the shaft and speeding its demise. Also, DO NOT FILL THE GRINDING BOWL MORE THAT 3/4 OF THE WAY FULL (less for hard to grind substances). The full line is where the metal bowl ends and the plastic starts. OVERLOAD THIS CHEAP MOTOR AND IT WILL DIE."
122,spice,"I tried to use this to grind coffee. IT DOES NOT GRIND COFFEE WORTH A S&$%. But then neither does any other blade grinder I have tried. Finally got a burr grinder and will NEVER go back. However, this grinder can be made to grind spices if you are mechanically inclined. The blade on this and Cuisinart's hand held mixer is blunt and just about worthless.

However, unlike their hand held mixer, this blade can be easily removed. Just take a roughly 3/8"" dowel (a stick or handle of a wooden spoon) and place it on the right side of either blade pointed away from you. Now, whack the dowel with a wooden spoon or something. The blade will unscrew counter clockwise. Use a file or a Dremel with a stone and sharpen the blade. Now you have a fair to good grinder for spices.

One note of caution. DO NOT EVER GET ANY WATER IN THE GRINDING BOWL. The only thing separating the motor shaft from the bearing (actually a bushing) is a felt washer. Get it wet and it stays wet, corroding the shaft and speeding its demise. Also, DO NOT FILL THE GRINDING BOWL MORE THAT 3/4 OF THE WAY FULL (less for hard to grind substances). The full line is where the metal bowl ends and the plastic starts. OVERLOAD THIS CHEAP MOTOR AND IT WILL DIE."
123,water,"I tried to use this to grind coffee. IT DOES NOT GRIND COFFEE WORTH A S&$%. But then neither does any other blade grinder I have tried. Finally got a burr grinder and will NEVER go back. However, this grinder can be made to grind spices if you are mechanically inclined. The blade on this and Cuisinart's hand held mixer is blunt and just about worthless.

However, unlike their hand held mixer, this blade can be easily removed. Just take a roughly 3/8"" dowel (a stick or handle of a wooden spoon) and place it on the right side of either blade pointed away from you. Now, whack the dowel with a wooden spoon or something. The blade will unscrew counter clockwise. Use a file or a Dremel with a stone and sharpen the blade. Now you have a fair to good grinder for spices.

One note of caution. DO NOT EVER GET ANY WATER IN THE GRINDING BOWL. The only thing separating the motor shaft from the bearing (actually a bushing) is a felt washer. Get it wet and it stays wet, corroding the shaft and speeding its demise. Also, DO NOT FILL THE GRINDING BOWL MORE THAT 3/4 OF THE WAY FULL (less for hard to grind substances). The full line is where the metal bowl ends and the plastic starts. OVERLOAD THIS CHEAP MOTOR AND IT WILL DIE."
128,burr grinder,"I tried to use this to grind coffee. IT DOES NOT GRIND COFFEE WORTH A S&$%. But then neither does any other blade grinder I have tried. Finally got a burr grinder and will NEVER go back. However, this grinder can be made to grind spices if you are mechanically inclined. The blade on this and Cuisinart's hand held mixer is blunt and just about worthless.

However, unlike their hand held mixer, this blade can be easily removed. Just take a roughly 3/8"" dowel (a stick or handle of a wooden spoon) and place it on the right side of either blade pointed away from you. Now, whack the dowel with a wooden spoon or something. The blade will unscrew counter clockwise. Use a file or a Dremel with a stone and sharpen the blade. Now you have a fair to good grinder for spices.

One note of caution. DO NOT EVER GET ANY WATER IN THE GRINDING BOWL. The only thing separating the motor shaft from the bearing (actually a bushing) is a felt washer. Get it wet and it stays wet, corroding the shaft and speeding its demise. Also, DO NOT FILL THE GRINDING BOWL MORE THAT 3/4 OF THE WAY FULL (less for hard to grind substances). The full line is where the metal bowl ends and the plastic starts. OVERLOAD THIS CHEAP MOTOR AND IT WILL DIE."
131,coffee,"Grinds our coffee as expected. It was my first time buying a coffee grinder and so I don't have anything to compare it to, but it is fairly quiet and grinds enough beans to make our 8 cups of coffee at one time. I'm not sure how to ""hide"" the cord though and so I just wrap it around the grinder when storing it."
133,cord,"Grinds our coffee as expected. It was my first time buying a coffee grinder and so I don't have anything to compare it to, but it is fairly quiet and grinds enough beans to make our 8 cups of coffee at one time. I'm not sure how to ""hide"" the cord though and so I just wrap it around the grinder when storing it."
134,time,"Grinds our coffee as expected. It was my first time buying a coffee grinder and so I don't have anything to compare it to, but it is fairly quiet and grinds enough beans to make our 8 cups of coffee at one time. I'm not sure how to ""hide"" the cord though and so I just wrap it around the grinder when storing it."
135,grinder,"Grinds our coffee as expected. It was my first time buying a coffee grinder and so I don't have anything to compare it to, but it is fairly quiet and grinds enough beans to make our 8 cups of coffee at one time. I'm not sure how to ""hide"" the cord though and so I just wrap it around the grinder when storing it."
136,bean,"Grinds our coffee as expected. It was my first time buying a coffee grinder and so I don't have anything to compare it to, but it is fairly quiet and grinds enough beans to make our 8 cups of coffee at one time. I'm not sure how to ""hide"" the cord though and so I just wrap it around the grinder when storing it."
137,coffee grinder,"Grinds our coffee as expected. It was my first time buying a coffee grinder and so I don't have anything to compare it to, but it is fairly quiet and grinds enough beans to make our 8 cups of coffee at one time. I'm not sure how to ""hide"" the cord though and so I just wrap it around the grinder when storing it."
138,french press,"I have wasted so much money on coffee grinders - I use a French press daily to make my cups of coffee and the grinders always grind the coffee too finely for a French press and they create static so the coffee grinds to everywhere.
I recently stayed at a Airbnb and they had this coffee grinder, I used it and instantly fell in love. With a few quick presses of the triangular button it grinds the coffee beans into coarse pieces perfect for a French press, plus the amount of coffee it grinds is perfect AND no clean up! I dump the grinds straight into my French press for the perfect morning coffee. The price is unbeatable."
140,coffee bean,"I have wasted so much money on coffee grinders - I use a French press daily to make my cups of coffee and the grinders always grind the coffee too finely for a French press and they create static so the coffee grinds to everywhere.
I recently stayed at a Airbnb and they had this coffee grinder, I used it and instantly fell in love. With a few quick presses of the triangular button it grinds the coffee beans into coarse pieces perfect for a French press, plus the amount of coffee it grinds is perfect AND no clean up! I dump the grinds straight into my French press for the perfect morning coffee. The price is unbeatable."
142,grinder,"I have wasted so much money on coffee grinders - I use a French press daily to make my cups of coffee and the grinders always grind the coffee too finely for a French press and they create static so the coffee grinds to everywhere.
I recently stayed at a Airbnb and they had this coffee grinder, I used it and instantly fell in love. With a few quick presses of the triangular button it grinds the coffee beans into coarse pieces perfect for a French press, plus the amount of coffee it grinds is perfect AND no clean up! I dump the grinds straight into my French press for the perfect morning coffee. The price is unbeatable."
143,cup,"I have wasted so much money on coffee grinders - I use a French press daily to make my cups of coffee and the grinders always grind the coffee too finely for a French press and they create static so the coffee grinds to everywhere.
I recently stayed at a Airbnb and they had this coffee grinder, I used it and instantly fell in love. With a few quick presses of the triangular button it grinds the coffee beans into coarse pieces perfect for a French press, plus the amount of coffee it grinds is perfect AND no clean up! I dump the grinds straight into my French press for the perfect morning coffee. The price is unbeatable."
144,grind,"I have wasted so much money on coffee grinders - I use a French press daily to make my cups of coffee and the grinders always grind the coffee too finely for a French press and they create static so the coffee grinds to everywhere.
I recently stayed at a Airbnb and they had this coffee grinder, I used it and instantly fell in love. With a few quick presses of the triangular button it grinds the coffee beans into coarse pieces perfect for a French press, plus the amount of coffee it grinds is perfect AND no clean up! I dump the grinds straight into my French press for the perfect morning coffee. The price is unbeatable."
146,price,"I have wasted so much money on coffee grinders - I use a French press daily to make my cups of coffee and the grinders always grind the coffee too finely for a French press and they create static so the coffee grinds to everywhere.
I recently stayed at a Airbnb and they had this coffee grinder, I used it and instantly fell in love. With a few quick presses of the triangular button it grinds the coffee beans into coarse pieces perfect for a French press, plus the amount of coffee it grinds is perfect AND no clean up! I dump the grinds straight into my French press for the perfect morning coffee. The price is unbeatable."
151,coffee grinder,"I have wasted so much money on coffee grinders - I use a French press daily to make my cups of coffee and the grinders always grind the coffee too finely for a French press and they create static so the coffee grinds to everywhere.
I recently stayed at a Airbnb and they had this coffee grinder, I used it and instantly fell in love. With a few quick presses of the triangular button it grinds the coffee beans into coarse pieces perfect for a French press, plus the amount of coffee it grinds is perfect AND no clean up! I dump the grinds straight into my French press for the perfect morning coffee. The price is unbeatable."
154,coffee bean,"Bought it two months before we went to South Carolina, intending to use it in our condo there. When we finally used it here in Charleston, it ground the coffee beans OK; but we noticed that the grinder leans forward. It is lower in the front than the back because its front leg appears to be pushed in. I don't know whether that's a defect or whether it is meant to be tilted like that. I don't like it. Maybe that was why it sold so inexpensively, because it was a defective model being pushed off on an unsuspecting customer!"
155,grinder,"Bought it two months before we went to South Carolina, intending to use it in our condo there. When we finally used it here in Charleston, it ground the coffee beans OK; but we noticed that the grinder leans forward. It is lower in the front than the back because its front leg appears to be pushed in. I don't know whether that's a defect or whether it is meant to be tilted like that. I don't like it. Maybe that was why it sold so inexpensively, because it was a defective model being pushed off on an unsuspecting customer!"
162,coffee bean,"I got this grinder to grind up my coffee beans. It's very simple to use and doesn't make a ton of noise. Depending on how long you grind, you can adjust how fine your coffee is. Only thing that would make it perfect is if you could take it apart in order to get at your grind a little easier. The blade does get in the way a bit. But I just use a small spoon and it works. Great if you like to grind your own coffee beans."
164,grind,"I got this grinder to grind up my coffee beans. It's very simple to use and doesn't make a ton of noise. Depending on how long you grind, you can adjust how fine your coffee is. Only thing that would make it perfect is if you could take it apart in order to get at your grind a little easier. The blade does get in the way a bit. But I just use a small spoon and it works. Great if you like to grind your own coffee beans."
165,way,"I got this grinder to grind up my coffee beans. It's very simple to use and doesn't make a ton of noise. Depending on how long you grind, you can adjust how fine your coffee is. Only thing that would make it perfect is if you could take it apart in order to get at your grind a little easier. The blade does get in the way a bit. But I just use a small spoon and it works. Great if you like to grind your own coffee beans."
166,thing,"I got this grinder to grind up my coffee beans. It's very simple to use and doesn't make a ton of noise. Depending on how long you grind, you can adjust how fine your coffee is. Only thing that would make it perfect is if you could take it apart in order to get at your grind a little easier. The blade does get in the way a bit. But I just use a small spoon and it works. Great if you like to grind your own coffee beans."
167,blade,"I got this grinder to grind up my coffee beans. It's very simple to use and doesn't make a ton of noise. Depending on how long you grind, you can adjust how fine your coffee is. Only thing that would make it perfect is if you could take it apart in order to get at your grind a little easier. The blade does get in the way a bit. But I just use a small spoon and it works. Great if you like to grind your own coffee beans."
175,time,"This is a great little grinder machine. But, keep this in mind: It grinds a smaller volume at a time (for us this represents less than 10 cups of coffee that we can brew with one helping full of ground beans. There are other grinders like some of the Krups models that grind more beans at a time than this Cuisinart model. For us it works just fine. We keep it packed up and ready to go and use it when we travel."
176,bean,"This is a great little grinder machine. But, keep this in mind: It grinds a smaller volume at a time (for us this represents less than 10 cups of coffee that we can brew with one helping full of ground beans. There are other grinders like some of the Krups models that grind more beans at a time than this Cuisinart model. For us it works just fine. We keep it packed up and ready to go and use it when we travel."
180,bean,If you are looking to serve more than three people I would suggest getting another one just in terms of the quantity of beans per usage. I usually need to fill it up two times. My wife and I like our coffee strong. It is easy to use and it is relatively quiet especially if you hold it in your hand when you engage the button to grind the beans vs leaving it on the counter top
181,button,If you are looking to serve more than three people I would suggest getting another one just in terms of the quantity of beans per usage. I usually need to fill it up two times. My wife and I like our coffee strong. It is easy to use and it is relatively quiet especially if you hold it in your hand when you engage the button to grind the beans vs leaving it on the counter top
183,counter,If you are looking to serve more than three people I would suggest getting another one just in terms of the quantity of beans per usage. I usually need to fill it up two times. My wife and I like our coffee strong. It is easy to use and it is relatively quiet especially if you hold it in your hand when you engage the button to grind the beans vs leaving it on the counter top
188,Amazon,"I had one of these for probably 10 years and it finally gave out. I replaced it with a Krups which costs more and, in my opinion, is an inferior product for a variety of reasons. After returning it to Amazon, I immediately replaced my broken Cuisinart with exactly the same one, only 10 years newer. This is a great coffee grinder that stands up over the long haul."
194,Krups,"I had one of these for probably 10 years and it finally gave out. I replaced it with a Krups which costs more and, in my opinion, is an inferior product for a variety of reasons. After returning it to Amazon, I immediately replaced my broken Cuisinart with exactly the same one, only 10 years newer. This is a great coffee grinder that stands up over the long haul."
199,time,"My boyfriend has the same coffeemaker and I really liked it. The Mr. Coffee one I had worked fine but was noisier and seemed to take longer to grind the beans. Also, it is easier to remove all the grounds from the Cuisinart than from the Mr. Coffee grinders. My cat always ran upstairs when I used the Mr. Coffee grinder. Now he still runs but not as far and the Cuisinart grinds in less time so he can return sooner."
203,Cuisinart,"My boyfriend has the same coffeemaker and I really liked it. The Mr. Coffee one I had worked fine but was noisier and seemed to take longer to grind the beans. Also, it is easier to remove all the grounds from the Cuisinart than from the Mr. Coffee grinders. My cat always ran upstairs when I used the Mr. Coffee grinder. Now he still runs but not as far and the Cuisinart grinds in less time so he can return sooner."
205,ground,"My boyfriend has the same coffeemaker and I really liked it. The Mr. Coffee one I had worked fine but was noisier and seemed to take longer to grind the beans. Also, it is easier to remove all the grounds from the Cuisinart than from the Mr. Coffee grinders. My cat always ran upstairs when I used the Mr. Coffee grinder. Now he still runs but not as far and the Cuisinart grinds in less time so he can return sooner."
206,french press,"held up to daily use for six years. does the job. i use it for a french press, which is a coarse grind, and small capacity, but i've also occasionally did a fine espresso grind. i also don't mind having to grind a second time for a larger pot of coffee.
Update: 1-2 uses per day, 8 years and counting. working perfectly."
210,year,"held up to daily use for six years. does the job. i use it for a french press, which is a coarse grind, and small capacity, but i've also occasionally did a fine espresso grind. i also don't mind having to grind a second time for a larger pot of coffee.
Update: 1-2 uses per day, 8 years and counting. working perfectly."
222,lid,"awesome affordable grinder, the only thing I didn't like is that you can't wash the grinder itself (only the lid), you must clean it with a wet towel but can't pull it put. I still gave it 5 stars because it's not a real mess to clean , and it grinds coffee and even nutmeg like a ninja"
224,thing,"awesome affordable grinder, the only thing I didn't like is that you can't wash the grinder itself (only the lid), you must clean it with a wet towel but can't pull it put. I still gave it 5 stars because it's not a real mess to clean , and it grinds coffee and even nutmeg like a ninja"
229,product,Product works as expected but if you like to make 10 or more cups of coffee at once you will find the grinding chamber too small on this unit. I also don't like the lid which has a plastic inner ring that the coffee beans like to get stuck in. These beans make it tough to close the top so you can engage the start switch and won't get ground up if you do manage to start it. It is also difficult to dump the ground product into the coffee maker as the lid won't hold all the coffee so you have to unplug the unit and tip the whole machine over to empty it. On the plus side unit has plenty of power and has a reasonable quality feel to it.
230,coffee bean,Product works as expected but if you like to make 10 or more cups of coffee at once you will find the grinding chamber too small on this unit. I also don't like the lid which has a plastic inner ring that the coffee beans like to get stuck in. These beans make it tough to close the top so you can engage the start switch and won't get ground up if you do manage to start it. It is also difficult to dump the ground product into the coffee maker as the lid won't hold all the coffee so you have to unplug the unit and tip the whole machine over to empty it. On the plus side unit has plenty of power and has a reasonable quality feel to it.
232,machine,Product works as expected but if you like to make 10 or more cups of coffee at once you will find the grinding chamber too small on this unit. I also don't like the lid which has a plastic inner ring that the coffee beans like to get stuck in. These beans make it tough to close the top so you can engage the start switch and won't get ground up if you do manage to start it. It is also difficult to dump the ground product into the coffee maker as the lid won't hold all the coffee so you have to unplug the unit and tip the whole machine over to empty it. On the plus side unit has plenty of power and has a reasonable quality feel to it.
237,lid,Product works as expected but if you like to make 10 or more cups of coffee at once you will find the grinding chamber too small on this unit. I also don't like the lid which has a plastic inner ring that the coffee beans like to get stuck in. These beans make it tough to close the top so you can engage the start switch and won't get ground up if you do manage to start it. It is also difficult to dump the ground product into the coffee maker as the lid won't hold all the coffee so you have to unplug the unit and tip the whole machine over to empty it. On the plus side unit has plenty of power and has a reasonable quality feel to it.
241,unit,Product works as expected but if you like to make 10 or more cups of coffee at once you will find the grinding chamber too small on this unit. I also don't like the lid which has a plastic inner ring that the coffee beans like to get stuck in. These beans make it tough to close the top so you can engage the start switch and won't get ground up if you do manage to start it. It is also difficult to dump the ground product into the coffee maker as the lid won't hold all the coffee so you have to unplug the unit and tip the whole machine over to empty it. On the plus side unit has plenty of power and has a reasonable quality feel to it.
242,ground,Product works as expected but if you like to make 10 or more cups of coffee at once you will find the grinding chamber too small on this unit. I also don't like the lid which has a plastic inner ring that the coffee beans like to get stuck in. These beans make it tough to close the top so you can engage the start switch and won't get ground up if you do manage to start it. It is also difficult to dump the ground product into the coffee maker as the lid won't hold all the coffee so you have to unplug the unit and tip the whole machine over to empty it. On the plus side unit has plenty of power and has a reasonable quality feel to it.
246,time,"This grinder has a nice aesthetic design and powerful motor/blade. Only takes a few seconds to make very finely ground coffee. Only drawback is the coffee bean capacity. If you want to make more than a couple cups of coffee at a time, you need to grind multiple batches of beans."
